user_id,age,gender,income,browsing_minutes,pages_viewed,click_rate,previous_purchase,purchase
USER_0472,23.0,1,18.3,60.8,14,0.521,1,1
USER_0136,30.0,1,13.9,38.9,11,0.378,1,1
USER_0357,32.0,1,16.7,55.5,20,0.098,0,0
USER_0027,,0,7.3,90.7,22,0.524,1,1
USER_0046,33.0,1,17.9,43.6,18,0.584,0,0
USER_0049,21.0,1,10.4,33.3,9,0.338,0,1
USER_0121,25.0,0,9.9,19.0,7,0.201,1,1
USER_0009,44.0,1,12.4,30.6,14,0.078,0,1
USER_0114,34.0,1,6.0,42.1,10,0.172,1,1
USER_0280,38.0,0,11.9,32.6,10,0.306,0,0
USER_0317,33.0,0,15.4,21.9,9,0.632,1,1
USER_0155,,1,8.2,65.8,18,0.594,0,0
USER_0422,31.0,0,15.0,34.5,14,0.407,1,1
USER_0377,25.0,1,15.9,71.5,18,0.146,0,1
USER_0304,38.0,1,13.2,40.5,13,0.162,1,1
USER_0283,36.0,1,10.4,51.9,19,0.367,1,0
USER_0086,18.0,0,16.3,51.1,15,0.329,0,1
USER_0208,,1,3.8,39.2,17,0.229,0,0
USER_0396,27.0,1,17.7,33.9,16,0.692,0,1
USER_0049,21.0,1,7.7,46.6,13,0.236,0,1
USER_0114,34.0,1,13.9,16.7,6,0.092,0,0
USER_0028,,0,8.8,146.6,57,0.595,1,1
USER_0108,32.0,0,12.5,52.7,13,0.384,1,1
USER_0444,27.0,0,10.3,50.5,17,0.554,0,1
USER_0141,22.0,1,15.0,26.2,11,0.662,0,0
USER_0090,,1,8.0,42.0,10,0.608,0,0
USER_0283,36.0,1,3.2,45.5,10,0.77,0,0
USER_0175,21.0,0,8.9,5.0,3,0.45,0,0
USER_0432,32.0,1,9.9,19.1,8,0.643,0,0
USER_0436,,0,3.0,53.4,19,0.427,1,0
USER_0132,,0,13.3,71.1,33,0.273,0,1
USER_0267,26.0,0,12.8,50.9,23,0.571,0,1
USER_0388,32.0,1,14.7,41.0,15,0.432,0,0
USER_0385,31.0,1,17.7,42.4,18,0.593,1,1
USER_0034,22.0,1,16.5,61.3,20,0.74,0,1
USER_0062,28.0,1,10.9,41.8,20,0.542,0,1
USER_0424,37.0,0,12.4,180.0,54,0.429,0,1
USER_0227,33.0,1,12.0,27.2,12,0.546,1,1
USER_0086,18.0,0,11.7,57.7,15,0.104,0,1
USER_0263,32.0,1,4.8,35.0,8,0.6,0,0
USER_0448,33.0,0,11.4,21.2,8,0.65,0,0
USER_0319,20.0,0,16.3,30.7,12,0.055,1,0
USER_0450,47.0,0,10.0,26.9,9,0.429,0,0
USER_0143,38.0,0,16.0,47.7,11,0.229,0,0
USER_0086,18.0,0,11.1,40.0,9,0.547,0,1
USER_0324,33.0,0,14.8,28.3,6,0.141,0,0
USER_0475,36.0,1,14.0,43.5,13,0.212,1,0
USER_0239,20.0,0,14.0,46.8,18,0.689,1,1
USER_0320,41.0,1,3.7,57.1,19,0.181,1,1
USER_0007,30.0,0,22.7,56.9,20,0.563,1,1
USER_0415,29.0,1,11.2,50.4,21,0.167,0,0
USER_0198,,0,8.4,34.6,12,0.332,1,1
USER_0306,,1,11.8,38.2,15,0.203,1,0
USER_0244,60.0,0,17.5,28.3,8,0.616,1,1
USER_0415,29.0,1,10.7,51.0,21,0.574,1,0
USER_0007,30.0,0,12.2,63.7,31,0.125,1,1
USER_0462,31.0,0,18.3,144.0,35,0.435,1,1
USER_0354,,0,5.8,46.1,12,0.165,0,0
USER_0487,48.0,0,6.3,34.2,10,0.751,1,1
USER_0064,36.0,0,15.8,86.5,31,0.22,0,1
USER_0499,18.0,1,19.5,28.6,9,0.415,0,1
USER_0276,,0,4.4,71.3,31,0.173,1,1
USER_0307,24.0,1,6.2,45.5,14,0.429,1,1
USER_0225,,0,12.9,57.9,12,0.651,1,1
USER_0112,28.0,0,12.8,48.4,21,0.33,1,0
USER_0004,37.0,0,11.3,38.5,16,0.208,0,1
USER_0225,,0,15.3,44.5,14,0.726,0,0
USER_0430,25.0,1,4.0,11.4,3,0.155,1,1
USER_0316,28.0,1,8.9,28.2,12,0.407,0,1
USER_0150,24.0,0,15.3,151.2,56,0.235,0,1
USER_0072,28.0,1,8.5,40.6,11,0.614,1,0
USER_0311,29.0,1,9.8,33.3,10,0.162,1,0
USER_0189,37.0,0,12.6,64.7,27,0.505,0,1
USER_0397,25.0,1,19.4,29.0,9,0.493,1,1
USER_0159,24.0,1,5.5,20.1,7,0.744,0,0
USER_0005,44.0,1,21.2,17.3,8,0.496,0,0
USER_0390,39.0,1,5.4,77.6,28,0.294,1,1
USER_0034,22.0,1,6.4,24.4,10,0.512,0,0
USER_0385,31.0,1,17.9,47.5,10,0.391,0,0
USER_0379,23.0,1,12.4,55.2,27,0.091,1,0
USER_0040,31.0,1,13.7,72.1,15,0.738,0,1
USER_0049,21.0,1,10.4,25.0,10,0.584,0,1
USER_0488,46.0,1,15.2,40.8,9,0.11,0,0
USER_0346,26.0,1,15.2,15.0,7,0.369,1,1
USER_0216,30.0,1,14.4,29.2,12,0.602,1,1
USER_0475,36.0,1,15.2,44.1,18,0.66,1,1
USER_0090,,1,10.4,40.8,19,0.469,1,0
USER_0496,40.0,1,15.2,58.0,24,0.207,0,1
USER_0194,39.0,1,10.3,51.9,21,0.236,0,0
USER_0003,30.0,0,17.8,63.5,24,0.239,1,1
USER_0121,25.0,0,10.8,31.6,9,0.309,1,0
USER_0381,41.0,0,14.3,30.9,11,0.637,0,1
USER_0046,33.0,1,14.1,44.3,18,0.739,0,1
USER_0207,32.0,0,16.5,18.2,8,0.54,0,0
USER_0282,31.0,0,6.3,62.4,26,0.33,1,1
USER_0046,33.0,1,19.5,39.7,19,0.135,1,0
USER_0409,43.0,0,22.1,24.8,11,0.145,0,0
USER_0228,35.0,0,7.3,85.4,17,0.667,0,1
USER_0269,32.0,0,8.8,14.2,3,0.13,1,1
USER_0034,22.0,1,10.5,33.4,15,0.451,0,0
USER_0034,22.0,1,11.7,18.4,4,0.193,0,0
USER_0242,36.0,1,5.7,5.0,3,0.17,1,0
USER_0221,19.0,0,14.5,95.6,24,0.263,0,0
USER_0409,43.0,0,7.8,14.8,6,0.275,0,0
USER_0363,30.0,1,11.0,61.8,25,0.326,0,0
USER_0467,32.0,1,3.0,53.6,13,0.215,1,1
USER_0101,,1,14.4,42.8,19,0.663,1,1
USER_0219,31.0,0,17.4,28.0,12,0.779,1,1
USER_0005,44.0,1,5.7,36.5,9,0.503,1,0
USER_0208,,1,7.1,29.8,11,0.508,1,1
USER_0315,20.0,1,13.9,45.9,21,0.389,0,0
USER_0446,27.0,1,8.4,45.6,19,0.122,1,1
USER_0365,38.0,0,15.4,5.0,3,0.781,1,1
USER_0263,32.0,1,23.3,30.6,13,0.2,0,0
USER_0324,33.0,0,3.0,34.7,14,0.409,0,1
USER_0119,28.0,0,19.1,26.6,12,0.622,1,1
USER_0116,32.0,0,4.0,45.4,14,0.72,0,0
USER_0031,20.0,1,4.4,58.4,18,0.772,0,0
USER_0119,28.0,0,17.7,32.5,15,0.356,0,0
USER_0384,37.0,0,16.6,45.9,16,0.541,0,1
USER_0025,20.0,1,6.1,73.4,18,0.231,1,1
USER_0458,28.0,0,20.2,49.1,13,0.274,1,1
USER_0170,,0,14.6,34.7,12,0.164,0,0
USER_0374,32.0,0,11.3,21.7,10,0.378,0,1
USER_0254,28.0,1,12.6,6.9,3,0.358,0,0
USER_0296,40.0,1,12.5,65.0,26,0.687,0,1
USER_0252,30.0,1,5.0,52.6,22,0.313,1,1
USER_0229,24.0,0,25.6,26.8,10,0.567,1,1
USER_0328,28.0,1,8.5,25.7,6,0.082,1,1
USER_0448,33.0,0,20.9,20.8,8,0.283,0,0
USER_0185,26.0,0,9.9,39.1,14,0.75,1,0
USER_0448,33.0,0,12.8,36.3,14,0.685,0,1
USER_0141,22.0,1,14.9,46.7,14,0.507,1,1
