user_id,age,gender,income,browsing_minutes,pages_viewed,click_rate,previous_purchase,purchase,purchase_amount,purchase_date,user_segment
USER_0472,23.0,1,18.347253617117964,60.8,14,0.521,1,1,476.81,2024-10-01,高消费高频
USER_0136,30.0,1,13.901534212007721,38.9,11,0.378,1,1,133.67,2024-02-23,低消费高频
USER_0357,32.0,1,16.746482491876577,55.5,20,0.098,0,0,142.27,2024-11-09,低消费高频
USER_0027,,0,7.33366020463402,90.7,22,0.524,1,1,1221.67,2024-12-16,高消费低频
USER_0046,33.0,1,17.91226913302652,43.6,18,0.584,0,0,62.18,2024-03-08,低消费高频
USER_0049,21.0,1,10.36052641743541,33.3,9,0.338,0,1,61.21,2024-03-04,低消费高频
USER_0121,25.0,0,9.916873471922688,19.0,7,0.201,1,1,112.66,2024-06-22,低消费高频
USER_0009,44.0,1,12.393175951580453,30.6,14,0.078,0,1,322.29,2024-07-28,高消费高频
USER_0114,34.0,1,5.959105881772059,42.1,10,0.172,1,1,112.91,2024-03-16,低消费高频
USER_0280,38.0,0,11.926531234872202,32.6,10,0.306,0,0,103.89,2024-08-25,低消费高频
USER_0317,33.0,0,15.356350683526767,21.9,9,0.632,1,1,81.05,2024-02-25,低消费低频
USER_0155,,1,8.165679809977238,65.8,18,0.594,0,0,677.31,2024-01-03,高消费低频
USER_0422,31.0,0,15.020982745748501,34.5,14,0.407,1,1,84.98,2024-06-22,低消费高频
USER_0377,25.0,1,15.893871539888911,71.5,18,0.146,0,1,860.1,2024-01-25,高消费低频
USER_0304,38.0,1,13.166510532821887,40.5,13,0.162,1,1,119.99,2024-06-23,低消费高频
USER_0283,36.0,1,10.391236480048958,51.9,19,0.367,1,0,10.0,2024-03-31,低消费高频
USER_0086,18.0,0,16.260894424040092,51.1,15,0.329,0,1,391.14,2024-08-02,高消费高频
USER_0208,,1,3.7551208105434846,39.2,17,0.229,0,0,115.1,2024-07-14,低消费高频
USER_0396,27.0,1,17.720792358959574,33.9,16,0.692,0,1,46.81,2024-09-30,低消费高频
USER_0049,21.0,1,7.664348921445498,46.6,13,0.236,0,1,84.66,2024-05-21,低消费高频
USER_0114,34.0,1,13.897751523061148,16.7,6,0.092,0,0,115.62,2024-06-11,低消费高频
USER_0028,,0,8.797532826154079,146.6,57,0.595,1,1,2242.1,2024-05-16,异常用户
USER_0108,32.0,0,12.455504333030612,52.7,13,0.384,1,1,85.36,2024-09-25,低消费高频
USER_0444,27.0,0,10.333870063187987,50.5,17,0.554,0,1,77.28,2024-03-30,低消费高频
USER_0141,22.0,1,14.962651536588806,26.2,11,0.662,0,0,107.35,2024-02-09,低消费高频
USER_0090,,1,7.968186514318493,42.0,10,0.608,0,0,102.67,2024-02-10,低消费高频
USER_0283,36.0,1,3.222472056476862,45.5,10,0.77,0,0,166.08,2024-04-28,低消费高频
USER_0175,21.0,0,8.877447724557113,5.0,3,0.45,0,0,24.82,2024-03-28,低消费高频
USER_0432,32.0,1,9.877578417329188,19.1,8,0.643,0,0,75.94,2024-01-17,低消费高频
USER_0436,,0,0.10040318909488732,53.4,19,0.427,1,0,45.11,2024-08-08,低消费高频
USER_0132,,0,13.322922680145556,71.1,33,0.273,0,1,521.76,2024-08-01,高消费低频
USER_0267,26.0,0,12.770159208417937,50.9,23,0.571,0,1,1039.23,2024-10-06,异常用户
USER_0388,32.0,1,14.737188857077753,41.0,15,0.432,0,0,143.55,2024-05-25,低消费高频
USER_0385,31.0,1,17.68928887984686,42.4,18,0.593,1,1,312.88,2024-03-01,高消费高频
USER_0034,22.0,1,16.500884934562333,61.3,20,0.74,0,1,93.59,2024-04-14,低消费高频
USER_0062,28.0,1,10.925448224249608,41.8,20,0.542,0,1,155.21,2024-06-12,低消费高频
USER_0424,37.0,0,12.438517488621656,180.0,54,0.429,0,1,6639.09,2024-11-16,高消费低频
USER_0227,33.0,1,11.974466839863874,27.2,12,0.546,1,1,94.16,2024-12-10,低消费高频
USER_0086,18.0,0,11.65861188680331,57.7,15,0.104,0,1,241.64,2024-07-26,高消费高频
USER_0263,32.0,1,4.790448219440954,35.0,8,0.6,0,0,78.17,2024-11-05,低消费高频
USER_0448,33.0,0,11.356737574973181,21.2,8,0.65,0,0,127.84,2024-08-07,低消费高频
